,tripId,deadline,inputs,action,reward
49,3,21,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 21, 'waypoint': 'forward', 'left': 'forward'}",forward,-1.0
50,3,20,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 20, 'waypoint': 'forward', 'left': None}",,0.0
51,3,19,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 19, 'waypoint': 'forward', 'left': None}",,0.0
52,3,18,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 18, 'waypoint': 'forward', 'left': None}",forward,12.0
53,4,35,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 35, 'waypoint': 'left', 'left': None}",,0.0
54,4,34,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 34, 'waypoint': 'left', 'left': None}",,0.0
55,4,33,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 33, 'waypoint': 'left', 'left': None}",,0.0
56,4,32,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 32, 'waypoint': 'left', 'left': None}",,0.0
57,4,31,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 31, 'waypoint': 'left', 'left': None}",,0.0
58,4,30,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 30, 'waypoint': 'left', 'left': None}",left,2.0
59,4,29,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 29, 'waypoint': 'forward', 'left': None}",forward,2.0
60,4,28,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 28, 'waypoint': 'left', 'left': None}",,0.0
61,4,27,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 27, 'waypoint': 'left', 'left': None}",,0.0
62,4,26,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 26, 'waypoint': 'left', 'left': None}",,0.0
63,4,25,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 25, 'waypoint': 'left', 'left': None}",left,2.0
64,4,24,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 24, 'waypoint': 'forward', 'left': None}",forward,2.0
65,4,23,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 23, 'waypoint': 'forward', 'left': None}",,0.0
66,4,22,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 22, 'waypoint': 'forward', 'left': None}",,0.0
67,4,21,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 21, 'waypoint': 'forward', 'left': None}",,0.0
68,4,20,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 20, 'waypoint': 'forward', 'left': None}",,0.0
69,4,19,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 19, 'waypoint': 'forward', 'left': None}",forward,2.0
70,4,18,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 18, 'waypoint': 'forward', 'left': None}",forward,2.0
71,4,17,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 17, 'waypoint': 'forward', 'left': None}",forward,12.0
72,5,45,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 45, 'waypoint': 'left', 'left': None}",,0.0
73,5,44,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 44, 'waypoint': 'left', 'left': None}",,0.0
74,5,43,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 43, 'waypoint': 'left', 'left': None}",,0.0
75,5,42,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 42, 'waypoint': 'left', 'left': None}",left,2.0
76,5,41,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 41, 'waypoint': 'forward', 'left': None}",,0.0
77,5,40,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 40, 'waypoint': 'forward', 'left': None}",,0.0
78,5,39,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 39, 'waypoint': 'forward', 'left': None}",,0.0
79,5,38,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 38, 'waypoint': 'forward', 'left': None}",,0.0
80,5,37,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 37, 'waypoint': 'forward', 'left': None}",forward,2.0
81,5,36,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 36, 'waypoint': 'forward', 'left': None}",forward,2.0
82,5,35,"{'right': None, 'light': 'red', 'oncoming': 'forward', 'deadline': 35, 'waypoint': 'forward', 'left': None}",forward,-1.0
83,5,34,"{'right': None, 'light': 'red', 'oncoming': 'forward', 'deadline': 34, 'waypoint': 'forward', 'left': None}",left,-1.0
84,5,33,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 33, 'waypoint': 'forward', 'left': None}",forward,2.0
85,5,32,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 32, 'waypoint': 'forward', 'left': None}",forward,2.0
86,5,31,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 31, 'waypoint': 'right', 'left': None}",right,2.0
87,5,30,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 30, 'waypoint': 'forward', 'left': None}",forward,2.0
88,5,29,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 29, 'waypoint': 'forward', 'left': None}",,0.0
89,5,28,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 28, 'waypoint': 'forward', 'left': None}",,0.0
90,5,27,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 27, 'waypoint': 'forward', 'left': None}",forward,2.0
